university_name,degree_program_link,program_name,degree_type,campuses,program_link
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Arts Entrepreneurship,Undergraduate Certificate,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/arts-entrepreneurship.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Asian Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/asian-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Astronomy,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/astronomy-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Astronomy and Astrophysics,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/astronomy-and-astrophysics-bs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Athletic Coaching,Endorsement,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/athletic-coaching.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Atmospheric Science,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/atmospheric-science-masters-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Audio Technology,Undergraduate Certificate,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/audio-technology-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,B.S. in Physiology/Pharm.D. Dual Degree Program,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/pre-pharmacy-pharmd-physiology.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Bachelor of General Studies,Bachelor of General Studies (B.G.S.),"Laramie Campus, Online, Hybrid, UW Casper",https://www.uwyo.edu/uw/degree-programs/general-studies-bgs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Banking and Financial Services,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/finance-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Basic BSN,Bachelor of Science in Nursing (B.S.N.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/basic-bsn.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Biology,Bachelor of Science (B.S.),"Laramie Campus, UW Casper",https://www.uwyo.edu/uw/degree-programs/biology-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Biomedical Engineering,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/biomedical-engineering-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Biomedical Sciences,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/biomedical-sciences-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Blockchain,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/blockchain-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Botany,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/botany-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Botany,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/botany-masters-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,BRAND,Bachelor of Science in Nursing (B.S.N.),"Laramie Campus, Hybrid",https://www.uwyo.edu/uw/degree-programs/brand.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,BSN Completion,Bachelor of Science in Nursing (B.S.N.),Online,https://www.uwyo.edu/uw/degree-programs/bsn-completion.html
