university_name,degree_program_link,program_name,degree_type,campuses,program_link
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Geographic Information Systems (GIS),Undergraduate Certificate,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/gis-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Geography,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/geography-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Geology,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/geology-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Geology and Geophysics,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/geology-geophysics-masters-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Geospatial Information Science and Technology,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/geospatial-information-science-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Geospatial Information Science and Technology with Thesis (Research M.S.),Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/gist-ms-research.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Geospatial Information Science and Technology without Thesis (Professional M.S.),Master of Science (M.S.),Online,https://www.uwyo.edu/uw/degree-programs/gist-ms-professional.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,German,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/german.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Health Leadership,Undergraduate Certificate,"Online, UW Casper",https://www.uwyo.edu/uw/degree-programs/health-leadership-certificate-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Health Services Administration,Master of Science (M.S.),Online,https://www.uwyo.edu/uw/degree-programs/health-services-administration-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Health Services Administration Concentration,Bachelor of Applied Science (B.A.S.),"Online, UW Casper",https://www.uwyo.edu/uw/degree-programs/bas-hsa-concentration.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Higher Education Administration Concentration,Doctor of Education (Ed.D.),Online,https://www.uwyo.edu/uw/degree-programs/higher-education-administration-edd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Higher Education Administration Concentration,Master of Arts (M.A.),Online,https://www.uwyo.edu/uw/degree-programs/higher-education-administration-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,History,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/history-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,History,Master of Arts (M.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/history-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Honors,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/honors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Honors Interdisciplinary Inquiry,Concurrent Major,"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/honors-interdisciplinary-degree.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Horticulture,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/horticulture-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Hospitality Management,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/hospitality-management-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Human and Animal Physiology,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/animal-human-physiology-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Human Development and Family Science,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/human-development-family-science-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Human Nutrition and Food,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/human-nutrition-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Hydrologic Science,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/hydrologic-science-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Insect Biology,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/insect-biology-entomology-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Insect Biology/Entomology,Graduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/entomology-graduate-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Intensive English Program,English as a Second Language (ESL),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/intensive-english-program.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Interdisciplinary Computational Science,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/computational-science-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Interdisciplinary Pre-Law,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/interdisciplinary-pre-law-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Interior Design,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/interior-design-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,International Agriculture,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/international-agriculture-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,International Engineering,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/international-engineering-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,International Relations and Comparative Politics,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/international-relations-comparative-politics.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,International Studies,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/international-studies-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,International Studies,Master of Arts (M.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/international-studies-ma.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Japanese,Undergraduate Minor,Online,https://www.uwyo.edu/uw/degree-programs/japanese-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Journalism,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/journalism-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Kinesiology and Health,Master of Science (M.S.),"Laramie Campus, Online",https://www.uwyo.edu/uw/degree-programs/kinesiology-health-promotion-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Kinesiology and Health Promotion,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/kinesiology-and-health-promotion-bs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Land Administration,Undergraduate Certificate,"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/land-administration-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Latin,Undergraduate Minor,"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/latin-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Latina/o Studies,Undergraduate Minor,"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/latin-american-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Law Degree,Juris Doctor (J.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/jd-law-degree.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Leadership,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/leadership-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,"Learning, Design and Technology",Master of Science (M.S.),Online,https://www.uwyo.edu/uw/degree-programs/learning-design-technology-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,"Learning, Design and Technology Concentration",Doctor of Education (Ed.D.),Online,https://www.uwyo.edu/uw/degree-programs/learning-design-technology-edd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Literacy,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/literacy-endorsement-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Literary Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/literary-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,M.B.A./M.S. in Engineering Dual Degree Program,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/mba-engineering-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Management,Bachelor of Science in Business (B.S.B.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/management-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Marketing,Bachelor of Science in Business (B.S.B.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/marketing-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Marketing and Management,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/phd-marketing-management.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Marketing Communication,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/marketing-communication-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Master of Business Administration (MBA),Master of Business Administration (M.B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/master-of-business-administration.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Mathematics,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/mathematics-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Mathematics,Master of Arts (M.A.) & Master of Arts in Teaching (M.A.T.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/mathematics-graduate-programs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Mechanical Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/mechanical-engineering-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Mechanical Engineering,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/mechanical-engineering-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Mechanical Engineering,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/mechanical-engineering-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Medical Laboratory Science,Bachelor of Science (B.S.),"Online, Hybrid, UW Casper",https://www.uwyo.edu/uw/degree-programs/medical-laboratory-sciences-bs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Metalsmithing,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/metalsmithing-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Microbiology,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/microbiology-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Middle East/North Africa,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/middle-east-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Molecular and Cellular Life Sciences,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/molecular-cellular-life-sciences-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Molecular Biology,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/molecular-biology-graduate-programs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Molecular Biology B.S.,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/molecular-biology-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Museum Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/museum-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Music,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/music-ba.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Music Education,Bachelor of Music (B.M.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/music-education-bm.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Music Education,Master of Music (M.M.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/music-education-mme.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Music Industry Studies,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/music-industry-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Music Performance,Bachelor of Music (B.M.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/music-performance-bm.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Music Performance,Master of Music (M.M.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/music-performance-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Musical Theatre Performance,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/musical-theatre-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Native American and Indigenous Studies,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/native-american-indigenous-studies-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Native American and Indigenous Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/native-american-studies-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Natural Resource Economics,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/natural-resource-economics-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Natural Science (Middle-Level Math MMA),Master of Science (M.S.),Hybrid,https://www.uwyo.edu/uw/degree-programs/masters-math-education.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Natural Science (Middle-Level Science MSC),Master of Science (M.S.),Hybrid,https://www.uwyo.edu/uw/degree-programs/masters-science-education.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Neuroscience,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/neuroscience-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Neuroscience,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/neuroscience-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Nuclear Energy Science,Undergraduate Certificate,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/nuclear-energy-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Nursing,Doctor of Nursing Practice (D.N.P.),"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/nursing-dnp.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Nursing,Master of Science (M.S.),Online,https://www.uwyo.edu/uw/degree-programs/nursing-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Online Instruction,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/online-instruction-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Online Master of Business Administration (MBA),Master of Business Administration (M.B.A.),Online,https://www.uwyo.edu/uw/degree-programs/mba-online.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Organizational Leadership,Bachelor of Applied Science (B.A.S.),"Online, UW Casper",https://www.uwyo.edu/uw/degree-programs/organizational-leadership-bas.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Organizational Leadership,Undergraduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/organizational-leadership-certificate-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Outdoor Leadership,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/outdoor-leadership-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Outdoor Recreation and Tourism Management,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/outdoor-rec-tourism-management-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Painting,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/painting-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Petroleum Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/petroleum-engineering-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Petroleum Engineering,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/petroleum-engineering-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Petroleum Engineering,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/petroleum-engineering-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Pharm.D./M.B.A. Dual Degree Program,Master of Business Administration (M.B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/pharmd-mba.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Philosophy,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/philosophy-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Photography,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/photography-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Physical Education Teacher Education K-12 (PETE),Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/physical-education-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Physics,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/physics-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Physics,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/physics-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Physics,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/physics-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Physiology,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/physiology-bs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Plant Production and Protection,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/plant-production-protection-bs.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Plant Protection,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/plant-protection-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Plant Sciences,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/plant-sciences-ms-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Play Therapy,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/play-therapy-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Political Science,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/political-science-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Political Science,Master of Arts (M.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/political-science-ma.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Political Theory,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/political-theory-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Preprofessional Pharmacy Program,Pre-Pharmacy Program (P.P.C.Y.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/pre-pharmacy-program.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Printmaking,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/printmaking-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Process Control,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/process-control-instrumentation-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Professional Selling,Focus Area,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/professional-sales-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Professional Selling,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/professional-selling-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Professional Writing,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/professional-writing-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Psychology,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/doctorate-in-psychology.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Psychology,Bachelor of Science (B.S.),"Laramie Campus, Online, Hybrid, UW Casper",https://www.uwyo.edu/uw/degree-programs/psychology-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Public Administration,Master of Public Administration (M.P.A.),Online,https://www.uwyo.edu/uw/degree-programs/master-of-public-administration.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Public Law,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/public-law-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Public Relations,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/public-relations-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Qualitative Research Methods,Graduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/qualitative-research-methods-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Quantitative Research Methods,Graduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/quantitative-research-methods-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Quantum Information Science and Engineering,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/ms-quantum-engineering.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Quantum Information Science and Engineering,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/quantum-information-science-engineering-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Queer Studies,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/queer-studies.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Quickstart Accelerated Energy Resource Management and Development,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/quickstart-energy-resource-management-jd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,QuickStart B.S./M.S. in Chemical Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/chemical-engineering-quickstart.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,QuickStart B.S./M.S. in Electrical and Computer Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/computer-electrical-engineering-quickstart.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Quickstart B.S./M.S. in Mathematics,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/mathematics-quickstart.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Quickstart B.S./M.S. in Petroleum Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/petroleum-engineering-quickstart.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,QuickStart B.S./M.S. in Plant Sciences,Bachelor of Science (B.S.),"Laramie Campus, Hybrid",https://www.uwyo.edu/uw/degree-programs/plant-science-quickstart.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Quickstart B.S./M.S. in Statistics,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/statistics-quickstart.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Ranch Management and Agricultural Leadership,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/ranch-management-ag-leadership-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Rangeland Ecology and Watershed Management,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/rangeland-ecology-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Rangeland Ecology and Watershed Management,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/rangeland-ecology-watershed-management-ms-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Real Estate,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/real-estate-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Reclamation and Restoration Ecology,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/restoration-ecology-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Reclamation/Restoration Ecology,Graduate Certificate,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/reclamation-restoration-ecology-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Religious Studies,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/religious-studies-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Remote Sensing,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/remote-sensing-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Remote Sensing,Undergraduate Certificate,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/remote-sensing-undergraduate-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,School District Superintendent,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/school-district-superintendent-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,School Health Education K-12,Endorsement,Online,https://www.uwyo.edu/uw/degree-programs/health-educator-certification.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,School Principal,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/school-principal-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Sculpture Minor,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/sculpture-minor.html
